"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.008588417E0,1.112187195E-1,3.335064697E-1,9.786049805E0,9.792362685E0
1.018634417E0,9.445358276E-2,3.034190369E-1,9.793983307E0,9.799137391E0
1.028679417E0,1.085243225E-1,3.098556519E-1,9.785451050E0,9.790957068E0
1.038725417E0,1.252894592E-1,3.365002441E-1,9.778265991E0,9.784856445E0
1.048770417E0,1.136137390E-1,3.516188049E-1,9.788145447E0,9.795117924E0
1.058816417E0,1.154100037E-1,3.809577942E-1,9.774972839E0,9.783074278E0
1.068861417E0,1.137634277E-1,3.899391174E-1,9.784852295E0,9.793279791E0
1.078906417E0,1.267863464E-1,4.147874451E-1,9.799222412E0,9.808816610E0
1.088952417E0,1.269360352E-1,4.224215698E-1,9.801018677E0,9.810938785E0
1.098997417E0,1.472937012E-1,4.026626587E-1,9.777966614E0,9.787362451E0
1.109043417E0,1.405577087E-1,3.965254211E-1,9.776020660E0,9.785068668E0
1.119088417E0,1.368154907E-1,3.757186890E-1,9.797426147E0,9.805582192E0
1.129134417E0,1.252894592E-1,3.549119568E-1,9.782756653E0,9.789994263E0
1.139179417E0,1.082249451E-1,3.486250305E-1,9.799521790E0,9.806318338E0
1.149225417E0,9.325607300E-2,3.508703613E-1,9.804461517E0,9.811180987E0
1.159270417E0,8.592132568E-2,3.474275208E-1,9.787696381E0,9.794237530E0
1.169315417E0,8.906478882E-2,3.598516846E-1,9.787995758E0,9.795013360E0
1.179361417E0,1.035845947E-1,3.583547974E-1,9.791887665E0,9.798990355E0
1.189406417E0,1.037342834E-1,3.785627747E-1,9.768236847E0,9.776119970E0
1.199452417E0,1.272354126E-1,3.920347595E-1,9.772128754E0,9.780816964E0
1.209497417E0,1.434017944E-1,3.932322693E-1,9.781858521E0,9.790809558E0
1.219543417E0,1.393601990E-1,4.052073669E-1,9.800868988E0,9.810231761E0
1.229588417E0,1.413061523E-1,3.876937866E-1,9.782008209E0,9.790707763E0
1.239633417E0,1.308279419E-1,3.794609070E-1,9.803713074E0,9.811926241E0
1.249679417E0,1.178050232E-1,3.564088440E-1,9.789193268E0,9.796387606E0
1.259724417E0,1.026864624E-1,3.447331238E-1,9.781708832E0,9.788320239E0
1.269770417E0,9.939331055E-2,3.429368591E-1,9.792187042E0,9.798694392E0
1.279815417E0,9.684860229E-2,3.279679871E-1,9.772577820E0,9.778559193E0
1.289861417E0,9.056167603E-2,3.444337463E-1,9.795180817E0,9.801653088E0
1.299906417E0,8.128097534E-2,3.547622681E-1,9.805808716E0,9.812560697E0
1.309951417E0,9.894424438E-2,3.565585327E-1,9.789193268E0,9.796184399E0
1.319997417E0,1.125659180E-1,4.005670166E-1,9.813143463E0,9.821960581E0
1.330042417E0,1.270857239E-1,4.062551880E-1,9.796528015E0,9.805771526E0
1.340088417E0,1.465452576E-1,4.032614136E-1,9.771230621E0,9.780646356E0
1.350133417E0,1.463955688E-1,4.224215698E-1,9.800120544E0,9.810312652E0
1.360179417E0,1.384620667E-1,4.026626587E-1,9.782307587E0,9.791570389E0
1.370224417E0,1.348695374E-1,3.845503235E-1,9.784702606E0,9.793185071E0
1.380270417E0,1.149609375E-1,3.827540588E-1,9.793085175E0,9.801236347E0
1.390315417E0,1.046324158E-1,3.631448364E-1,9.781559143E0,9.788857001E0
1.400360417E0,8.801696777E-2,3.414399719E-1,9.785301361E0,9.791652106E0
1.410406417E0,1.041833496E-1,3.273692322E-1,9.795779572E0,9.801801987E0
1.420451417E0,1.068777466E-1,3.441343689E-1,9.772877197E0,9.779518395E0
1.430497417E0,1.037342834E-1,3.564088440E-1,9.798174591E0,9.805203383E0
