"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.152795430E-1,4.050000105E-3,-1.207950115E0,9.772950172E0,9.847320192E0
6.200740040E-1,3.299999982E-2,-1.203000069E0,9.754050255E0,9.828010711E0
6.248665450E-1,1.395000052E-2,-1.215000033E0,9.784950256E0,9.860105030E0
6.296597740E-1,2.595000155E-2,-1.210050106E0,9.745950699E0,9.820817160E0
6.344530720E-1,9.000000544E-3,-1.213050008E0,9.760950089E0,9.836041783E0
6.392477650E-1,2.805000171E-2,-1.189050078E0,9.768000603E0,9.840145460E0
6.440398430E-1,1.395000052E-2,-1.218000054E0,9.757950783E0,9.833683044E0
6.488333990E-1,1.605000161E-2,-1.213050008E0,9.751049995E0,9.826226332E0
6.536266320E-1,1.095000096E-2,-1.198050022E0,9.766050339E0,9.839267400E0
6.584213220E-1,3.495000303E-2,-1.203000069E0,9.780000687E0,9.853773089E0
6.632134200E-1,1.395000052E-2,-1.198050022E0,9.754050255E0,9.827360522E0
6.680069560E-1,1.395000052E-2,-1.201050043E0,9.763050079E0,9.836659121E0
6.728001890E-1,3.299999982E-2,-1.203000069E0,9.766050339E0,9.839920598E0
6.775948800E-1,4.995000362E-2,-1.215000033E0,9.751049995E0,9.826581099E0
6.823869590E-1,2.805000171E-2,-1.201050043E0,9.766050339E0,9.839667028E0
6.871804180E-1,1.905000024E-2,-1.203000069E0,9.775050163E0,9.848816059E0
6.919739620E-1,4.005000368E-2,-1.186050057E0,9.763050079E0,9.834910553E0
6.967684230E-1,3.105000220E-2,-1.167000055E0,9.763050079E0,9.832598847E0
7.015607330E-1,3.105000220E-2,-1.189050078E0,9.763050079E0,9.835240264E0
7.063539760E-1,3.495000303E-2,-1.195950031E0,9.778050423E0,9.850979040E0
7.111475140E-1,5.205000192E-2,-1.182000041E0,9.769950867E0,9.841329851E0
7.159419760E-1,3.299999982E-2,-1.174050093E0,9.769950867E0,9.840295857E0
7.207343000E-1,2.100000158E-2,-1.174050093E0,9.768000603E0,9.838326605E0
7.255276060E-1,3.495000303E-2,-1.206000090E0,9.763050079E0,9.837316940E0
7.303210680E-1,4.005000368E-2,-1.182000041E0,9.754050255E0,9.825488511E0
7.351156010E-1,4.695000127E-2,-1.165050030E0,9.766050339E0,9.835409757E0
7.399078340E-1,4.995000362E-2,-1.158000112E0,9.769950867E0,9.838465287E0
7.447011400E-1,5.400000140E-2,-1.170000076E0,9.769950867E0,9.839906306E0
7.494945860E-1,5.400000140E-2,-1.179000020E0,9.760950089E0,9.832044735E0
7.542890480E-1,5.205000192E-2,-1.182000041E0,9.781949997E0,9.853242057E0
7.590813570E-1,5.895000324E-2,-1.167000055E0,9.775050163E0,9.844641686E0
7.638746490E-1,5.400000140E-2,-1.174050093E0,9.775050163E0,9.845451504E0
7.686681110E-1,7.095000148E-2,-1.159950018E0,9.757950783E0,9.826908030E0
7.734626490E-1,6.195000187E-2,-1.162050009E0,9.769950867E0,9.839011026E0
7.782548960E-1,6.195000187E-2,-1.159950018E0,9.787050247E0,9.855743218E0
7.830482020E-1,8.295000345E-2,-1.147950053E0,9.778050423E0,9.845554332E0
7.878416630E-1,8.595000207E-2,-1.155000091E0,9.775050163E0,9.843425131E0
7.926362070E-1,7.605000585E-2,-1.147950053E0,9.766050339E0,9.833580841E0
7.974284390E-1,7.095000148E-2,-1.158000112E0,9.780000687E0,9.848574089E0
8.022217450E-1,7.800000161E-2,-1.177050114E0,9.769950867E0,9.840908033E0
8.070152120E-1,6.195000187E-2,-1.167000055E0,9.780000687E0,9.849575644E0
8.118097500E-1,6.900000572E-2,-1.141050100E0,9.790050507E0,9.856563562E0
8.166019830E-1,1.000500023E-1,-1.167000055E0,9.775050163E0,9.844973582E0
8.213954800E-1,9.000000358E-2,-1.167000055E0,9.790050507E0,9.859770690E0
8.261887130E-1,8.295000345E-2,-1.153050065E0,9.757950783E0,9.826189935E0
8.309832500E-1,8.100000024E-2,-1.150950074E0,9.772950172E0,9.840823245E0
8.357754870E-1,8.100000024E-2,-1.155000091E0,9.780000687E0,9.848299327E0
8.405690240E-1,1.050000042E-1,-1.194000006E0,9.763050079E0,9.836351349E0
8.453623320E-1,9.300000221E-2,-1.174050093E0,9.769950867E0,9.840679985E0
8.501567830E-1,1.000500023E-1,-1.155000091E0,9.768000603E0,9.836557883E0
8.549490930E-1,1.000500023E-1,-1.179000020E0,9.781949997E0,9.853253107E0
8.597423220E-1,1.050000042E-1,-1.167000055E0,9.751049995E0,9.821195963E0
8.645358650E-1,9.000000358E-2,-1.182000041E0,9.757950783E0,9.829691123E0
8.693303270E-1,1.020000055E-1,-1.201050043E0,9.778050423E0,9.852065533E0
8.741226360E-1,1.189500093E-1,-1.177050114E0,9.768000603E0,9.839381680E0
8.789158460E-1,1.099500060E-1,-1.189050078E0,9.778050423E0,9.850695364E0
8.837093080E-1,1.309500039E-1,-1.179000020E0,9.778050423E0,9.849744109E0
8.885038460E-1,1.099500060E-1,-1.218000054E0,9.784950256E0,9.861078270E0
8.932961460E-1,1.240500063E-1,-1.213050008E0,9.760950089E0,9.836819880E0
8.980896050E-1,1.050000042E-1,-1.206000090E0,9.766050339E0,9.840792673E0
9.028829130E-1,1.120500043E-1,-1.183950067E0,9.772950172E0,9.845041800E0
9.076776200E-1,9.795000404E-2,-1.201050043E0,9.766050339E0,9.840114564E0
9.124696990E-1,1.099500060E-1,-1.218000054E0,9.760950089E0,9.837263835E0
9.172631590E-1,1.260000020E-1,-1.206000090E0,9.784950256E0,9.859795319E0
9.220564860E-1,9.795000404E-2,-1.218000054E0,9.745950699E0,9.822253986E0
9.268509470E-1,1.140000075E-1,-1.215000033E0,9.766050339E0,9.841999812E0
9.316432570E-1,1.360500008E-1,-1.206000090E0,9.745950699E0,9.821227054E0
9.364367110E-1,1.189500093E-1,-1.206000090E0,9.769950867E0,9.844822256E0
9.412300190E-1,1.170000061E-1,-1.210050106E0,9.748950005E0,9.824456038E0
9.460247400E-1,1.099500060E-1,-1.207950115E0,9.756000519E0,9.831112786E0
9.508168190E-1,1.240500063E-1,-1.210050106E0,9.763050079E0,9.838534267E0
9.556102790E-1,1.330500096E-1,-1.207950115E0,9.751049995E0,9.826485730E0
9.604035670E-1,1.219500080E-1,-1.227000117E0,9.772950172E0,9.850429238E0
9.651982590E-1,1.410000026E-1,-1.198050022E0,9.754050255E0,9.828362083E0
9.699903380E-1,1.140000075E-1,-1.231950045E0,9.766050339E0,9.844106670E0
9.747838110E-1,1.309500039E-1,-1.210050106E0,9.763050079E0,9.838623685E0
9.795771190E-1,1.290000081E-1,-1.215000033E0,9.756000519E0,9.832212986E0
9.843718110E-1,1.189500093E-1,-1.198050022E0,9.766050339E0,9.839980294E0
9.891638950E-1,1.189500093E-1,-1.210050106E0,9.748950005E0,9.824479455E0
9.939573550E-1,1.120500043E-1,-1.210050106E0,9.772950172E0,9.848214637E0
9.987506630E-1,1.309500039E-1,-1.227000117E0,9.754050255E0,9.831794016E0
