"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.157071750E0,4.236243963E-1,-4.493723810E-1,-3.349315226E-1,7.025470025E-1
1.167117750E0,2.909462452E-1,-3.942052424E-1,-3.441665769E-1,5.987471281E-1
1.177162750E0,1.788866222E-1,-4.142903090E-1,-3.075897992E-1,5.461212029E-1
1.187208750E0,1.515191793E-1,-4.488269687E-1,-2.385225743E-1,5.303741396E-1
1.197253750E0,1.936858743E-1,-4.007925093E-1,-1.594717205E-1,4.728425563E-1
1.207299750E0,2.669001818E-1,-3.323910832E-1,-1.100567728E-1,4.402635943E-1
1.217345750E0,3.545197546E-1,-3.433060646E-1,-9.034495801E-2,5.017026229E-1
1.227390750E0,4.417214990E-1,-4.659747183E-1,-8.476670086E-2,6.476385677E-1
1.237436750E0,5.128979683E-1,-5.414366126E-1,-9.605430067E-2,7.519603447E-1
1.247482750E0,5.213218331E-1,-5.292779207E-1,-1.229082793E-1,7.530059868E-1
1.257527750E0,4.499492049E-1,-5.630244017E-1,-1.617231220E-1,7.386508865E-1
1.267573750E0,3.667632341E-1,-5.447623134E-1,-2.029017210E-1,6.873502429E-1
1.277618750E0,3.151735663E-1,-5.150165558E-1,-2.238525897E-1,6.439614985E-1
1.287664750E0,2.885946929E-1,-5.227162838E-1,-1.742288470E-1,6.219926859E-1
1.297710750E0,2.780154645E-1,-5.705307722E-1,-5.083869025E-2,6.366965784E-1
1.307755750E0,3.107747436E-1,-6.729248166E-1,1.034246460E-1,7.484019023E-1
1.317801750E0,2.995500267E-1,-3.965829909E-1,1.752393246E-1,5.269887172E-1
1.327846750E0,2.182024419E-1,-5.914449319E-2,1.769405603E-1,2.870859429E-1
1.337892750E0,1.023381278E-1,-1.637150533E-2,1.789799929E-1,2.068210735E-1
1.347938750E0,3.121658228E-4,-2.827450447E-2,2.021526843E-1,2.041206820E-1
1.357983750E0,-7.442826778E-2,3.475467209E-3,2.953269780E-1,3.045811383E-1
1.368029750E0,-1.078685150E-1,1.036000438E-2,4.448246062E-1,4.578338962E-1
1.378074750E0,-1.356641203E-1,-1.865031868E-1,6.102273464E-1,6.523538967E-1
1.388120750E0,-1.555821747E-1,-4.984882772E-1,7.355613112E-1,9.020791640E-1
1.398166750E0,-1.435307860E-1,-5.452405810E-1,8.022060394E-1,9.805217527E-1
1.408211750E0,-6.164551154E-2,-3.740059137E-1,8.134996891E-1,8.974755355E-1
1.418257750E0,3.219539672E-2,-1.433771700E-1,8.258250952E-1,8.387971413E-1
1.428302750E0,6.694139540E-2,-2.577969432E-2,8.464358449E-1,8.494700599E-1
1.438348750E0,-5.672305822E-3,-1.172487587E-1,8.295466304E-1,8.378108727E-1
1.448394750E0,-1.104852706E-1,-2.259006649E-1,6.911326051E-1,7.354606606E-1
1.458439750E0,-1.005110890E-1,-1.742014885E-1,5.361365080E-1,5.726176672E-1
1.468485750E0,-9.805416688E-3,-1.288800836E-1,5.156709552E-1,5.316227574E-1
1.478530750E0,7.765723765E-2,-1.956193298E-1,5.732760429E-1,6.106905846E-1
1.488576750E0,1.376318783E-1,-2.694115341E-1,5.947168469E-1,6.672430117E-1
1.498622750E0,1.012221649E-1,-2.956937850E-1,5.735265017E-1,6.531564814E-1
1.508667750E0,-7.430917770E-2,-2.464229167E-1,5.735776424E-1,6.286791071E-1
1.518713750E0,-3.054893613E-1,-8.333966881E-2,5.955568552E-1,6.745051653E-1
1.528758750E0,-5.524874330E-1,1.398761123E-1,5.901111960E-1,8.203894893E-1
1.538804750E0,-7.459308505E-1,3.622430265E-1,5.651910901E-1,1.003530673E0
1.548850750E0,-8.302809000E-1,5.394771695E-1,5.110990405E-1,1.114281930E0
1.558895750E0,-8.162332177E-1,6.177051067E-1,4.190790355E-1,1.106084763E0
1.568941750E0,-7.537093759E-1,5.334919691E-1,3.570127189E-1,9.900250430E-1
1.578986750E0,-6.640257835E-1,3.860705793E-1,3.116530776E-1,8.289200047E-1
1.589032750E0,-5.361852646E-1,1.407252699E-1,2.712379992E-1,6.171452761E-1
1.599078750E0,-3.399407566E-1,-3.003736734E-1,3.378181159E-1,5.656015745E-1
1.609123750E0,-1.943404078E-1,-6.224014759E-1,2.839285135E-1,7.111731098E-1
1.619169750E0,-1.013461873E-1,-8.446509242E-1,1.905146837E-1,8.717809806E-1
1.629214750E0,-3.483799845E-2,-1.027670383E0,1.760124415E-1,1.043216412E0
1.639260750E0,4.558806494E-2,-1.130660057E0,1.549809128E-1,1.142142513E0
1.649306750E0,1.131828204E-1,-1.191629171E0,1.542754471E-1,1.206893262E0
1.659351750E0,1.700386703E-1,-1.186649919E0,1.840121597E-1,1.212811467E0
1.669397750E0,1.925775260E-1,-1.105949044E0,2.228692919E-1,1.144499940E0
1.679443750E0,1.611091644E-1,-9.382107854E-1,2.758095860E-1,9.910936224E-1
1.689488750E0,7.574127614E-2,-7.101350427E-1,3.257483840E-1,7.849461952E-1
1.699534750E0,-6.164734066E-2,-4.877741933E-1,3.517072797E-1,6.045015044E-1
1.709579750E0,-2.335408032E-1,-3.063170314E-1,4.225537777E-1,5.717719174E-1
1.719625750E0,-3.582229316E-1,-2.675065696E-1,5.245452523E-1,6.892250396E-1
1.729671750E0,-4.324130118E-1,-3.113946617E-1,6.303161383E-1,8.253763276E-1
1.739716750E0,-5.251370072E-1,-2.981412411E-1,7.624788284E-1,9.726412698E-1
1.749762750E0,-6.768077612E-1,-1.726658940E-1,8.624387383E-1,1.109812071E0
1.759807750E0,-8.702861667E-1,2.644661814E-3,8.907160759E-1,1.245303230E0
1.769853750E0,-1.073251486E0,1.396714747E-1,8.666357994E-1,1.386518836E0
1.779899750E0,-1.237076163E0,2.215800732E-1,8.034775257E-1,1.491653880E0
1.789944750E0,-1.325770855E0,2.036394179E-1,7.651408315E-1,1.544207844E0
1.799990750E0,-1.323109508E0,8.238463849E-2,7.735871077E-1,1.534875569E0
1.810035750E0,-1.192727566E0,-7.194128633E-2,7.826727629E-1,1.428408642E0
1.820081750E0,-1.001253366E0,-3.117893934E-1,8.301631212E-1,1.337494575E0
1.830127750E0,-8.302215934E-1,-4.682801962E-1,8.654204011E-1,1.287441924E0
1.840172750E0,-7.035096288E-1,-4.755715728E-1,8.546328545E-1,1.204778583E0
1.850218750E0,-6.480772495E-1,-4.420018792E-1,8.159121275E-1,1.131849099E0
1.860263750E0,-6.159445047E-1,-4.359139502E-1,7.917345762E-1,1.093733169E0
1.870309750E0,-5.892657042E-1,-4.818609357E-1,8.032311797E-1,1.106618434E0
1.880355750E0,-5.675616264E-1,-6.146379709E-1,8.229230046E-1,1.173502581E0
1.890400750E0,-5.520756245E-1,-7.742875218E-1,8.256157637E-1,1.259345088E0
1.900446750E0,-5.662282109E-1,-8.775211573E-1,7.949236035E-1,1.312463830E0
1.910491750E0,-5.887497663E-1,-9.283257127E-1,7.531497478E-1,1.332534975E0
1.920537750E0,-6.098718047E-1,-9.580941200E-1,7.223885059E-1,1.346006358E0
1.930583750E0,-6.163672209E-1,-1.009556055E0,7.265416980E-1,1.388155185E0
1.940628917E0,-5.864121914E-1,-1.118905425E0,7.380313873E-1,1.463051242E0
1.950674917E0,-5.141558647E-1,-1.364248037E0,7.671411037E-1,1.647432680E0
1.960719917E0,-4.009026587E-1,-1.652246833E0,8.098775148E-1,1.883227051E0
1.970765917E0,-2.902597785E-1,-1.872771263E0,8.439465761E-1,2.074552667E0
1.980811917E0,-2.413270622E-1,-1.969491482E0,8.557471633E-1,2.160888395E0
1.990856917E0,-2.437276393E-1,-1.986086965E0,9.176251888E-1,2.201358803E0
2.000902917E0,-2.920662761E-1,-1.924945474E0,1.026572347E0,2.201038066E0
2.010947917E0,-3.833258748E-1,-1.878531694E0,1.155338526E0,2.238443022E0
2.020993917E0,-4.874382913E-1,-1.817612410E0,1.304077744E0,2.289526091E0
2.031039917E0,-5.538593531E-1,-1.689158797E0,1.453192711E0,2.296037169E0
2.041084917E0,-6.219384074E-1,-1.634115458E0,1.550181866E0,2.336708054E0
2.051130917E0,-6.533623934E-1,-1.623921871E0,1.614791036E0,2.381502624E0
2.061176917E0,-6.649646163E-1,-1.623440146E0,1.674477816E0,2.425203456E0
2.071221917E0,-6.832072735E-1,-1.523041129E0,1.734327555E0,2.407139075E0
2.081267917E0,-7.144224048E-1,-1.407828331E0,1.784623504E0,2.382700366E0
2.091312917E0,-7.317553163E-1,-1.322817564E0,1.861931562E0,2.398353872E0
2.101358917E0,-7.262215614E-1,-1.306391835E0,1.920786262E0,2.433819477E0
2.111404917E0,-6.635398269E-1,-1.458585382E0,1.901877284E0,2.486944636E0
2.121449917E0,-5.082064867E-1,-1.714415789E0,1.816477060E0,2.548937865E0
2.131495917E0,-3.313291669E-1,-2.068108559E0,1.691903710E0,2.692469163E0
2.141540917E0,-2.175333500E-1,-2.292075396E0,1.453040481E0,2.722546054E0
2.151586917E0,-1.575999707E-1,-2.401660681E0,1.200783968E0,2.689738633E0
2.161632917E0,-1.185090765E-1,-2.197933912E0,1.018566132E0,2.425373136E0
2.171677917E0,-1.652707309E-1,-2.039766073E0,9.039316773E-1,2.237197471E0
2.181723917E0,-1.544637829E-1,-1.839381099E0,8.607978225E-1,2.036701936E0
2.191768917E0,-5.375341699E-2,-1.525208831E0,8.514038324E-1,1.747581155E0
2.201814917E0,2.782730851E-3,-1.389824152E0,7.929441929E-1,1.600118561E0
2.211860917E0,4.123078659E-2,-1.213000298E0,5.411295295E-1,1.328868266E0
2.221905917E0,1.077397764E-1,-6.729563475E-1,2.281247526E-1,7.186925683E-1
2.231951917E0,7.163289934E-2,-1.719456911E-1,9.617764503E-2,2.096347594E-1
2.241996917E0,-9.087993205E-2,1.068380028E-1,3.783672675E-2,1.452760778E-1
2.252042917E0,-2.082036287E-1,5.062351823E-1,-6.185594015E-3,5.474130729E-1
2.262088917E0,-2.914752960E-1,9.438657165E-1,-9.213341027E-2,9.921335113E-1
2.272133917E0,-3.332741261E-1,1.316098571E0,-2.979640663E-1,1.389953120E0
2.282179917E0,-2.514140010E-1,1.596207380E0,-5.405546427E-1,1.703903261E0
2.292224917E0,-1.978932470E-1,1.748570561E0,-7.717526555E-1,1.921526192E0
2.302270917E0,-1.688620299E-1,1.462335825E0,-1.002380729E0,1.780928852E0
2.312316917E0,-7.630573213E-2,1.158511996E0,-1.241256118E0,1.699614474E0
2.322361917E0,5.497456063E-3,7.151250839E-1,-1.524685025E0,1.684072010E0
2.332407917E0,6.723619252E-2,2.488047928E-1,-1.913064480E0,1.930347180E0
2.342452917E0,1.544502527E-1,-7.148873061E-2,-2.347387552E0,2.353549201E0
