"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.230035417E0,1.195885707E-4,-3.071727697E-3,-2.995734103E-4,3.088617279E-3
1.240081417E0,5.020184908E-4,-2.423247788E-3,6.386581808E-4,2.555784944E-3
1.250126417E0,-5.893448833E-4,-9.065200575E-4,1.481559593E-4,1.091355210E-3
1.260172417E0,2.274464350E-4,-1.573642250E-3,-2.851404715E-4,1.615359682E-3
1.270217417E0,1.196571044E-3,-1.461016014E-3,1.540777739E-3,2.437282523E-3
1.280262417E0,2.623342443E-4,-1.975538209E-3,1.561816782E-3,2.531964086E-3
1.290308417E0,-2.495255321E-4,-1.126671210E-3,5.457676016E-4,1.276523906E-3
1.300353417E0,-6.561900955E-4,-8.294628933E-4,1.069078688E-3,1.503836219E-3
1.310399417E0,-5.259609316E-4,-1.614264678E-3,7.578604855E-4,1.859257343E-3
1.320444417E0,-9.576594457E-4,9.894696996E-5,3.701043315E-4,1.031445264E-3
1.330489417E0,2.929605544E-4,4.638577811E-4,1.158267260E-4,5.607189652E-4
1.340535417E0,1.574739930E-3,9.618690237E-4,1.155258389E-3,2.177066791E-3
1.350580417E0,-1.031961991E-3,2.105400898E-3,8.323232178E-4,2.488055552E-3
1.360625417E0,8.815192850E-4,1.459051855E-3,-1.365346834E-4,1.710131657E-3
1.370671417E0,2.468875609E-4,1.508171670E-3,-2.319286577E-4,1.545744531E-3
1.380716417E0,8.735294687E-4,-3.384635784E-4,-4.596289946E-4,1.043489405E-3
1.390762417E0,-1.693645027E-4,1.725661568E-3,8.616717532E-4,1.936251635E-3
1.400807417E0,7.302514277E-4,4.816991277E-4,9.281700477E-5,8.797250671E-4
1.410852417E0,3.603382502E-4,-4.388671368E-4,-8.954289369E-4,1.060302315E-3
1.420898417E0,3.073413391E-4,-5.395347252E-4,-2.922229469E-4,6.862584565E-4
1.430943417E0,1.252231654E-3,-1.279544085E-4,3.772948403E-4,1.314080607E-3
1.440989417E0,-3.134408034E-4,-1.134895254E-3,-1.694521634E-4,1.189515200E-3
1.451034417E0,7.968308637E-4,-1.400264911E-3,8.672636468E-4,1.829706938E-3
1.461079417E0,-1.207730500E-3,-1.237812452E-3,1.611723565E-5,1.729465927E-3
1.471125417E0,5.134701496E-4,5.486942828E-4,7.565303240E-4,1.066327877E-3
1.481170417E0,1.773411641E-3,-1.953612082E-3,8.115265518E-5,2.639730056E-3
1.491215417E0,-9.825802408E-5,9.974325076E-4,-2.058845712E-4,1.023188498E-3
1.501261417E0,-6.229006685E-4,-3.064507619E-4,5.267509259E-4,8.714263309E-4
1.511306417E0,7.901727222E-4,-1.873213798E-3,1.363921911E-6,2.033053055E-3
1.521352417E0,1.027993043E-3,-2.191994339E-3,-1.451099524E-4,2.425420742E-3
1.531397417E0,-2.439327072E-4,-1.715821214E-3,4.775370471E-4,1.797661602E-3
1.541442417E0,4.729903303E-4,-8.066175506E-4,-8.037097286E-4,1.233004888E-3
1.551488417E0,-2.529872581E-4,8.005117998E-4,4.788152874E-4,9.664811295E-4
1.561533417E0,-1.533434959E-3,3.728084266E-4,2.662949264E-4,1.600413036E-3
1.571579417E0,5.046819570E-4,9.295563214E-4,2.120867372E-3,2.369990979E-3
1.581624417E0,4.607397132E-4,-3.897738643E-4,5.434767809E-4,8.121402342E-4
1.591669417E0,1.091642887E-3,-2.148204949E-3,-1.841545338E-3,3.032780560E-3
1.601715417E0,-5.129117053E-4,-8.283420466E-4,1.084469724E-3,1.457842086E-3
1.611760417E0,-2.423347905E-4,-2.365040127E-3,-1.006216509E-3,2.581591102E-3
