"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.918894083E0,-2.719844055E-1,-3.784130859E-1,9.904303894E0,9.915261348E0
1.928933083E0,-2.713856506E-1,-3.721261597E-1,9.915081482E0,9.925772959E0
1.938972083E0,-2.647993469E-1,-3.682342529E-1,9.909542999E0,9.919917218E0
1.949010083E0,-2.674937439E-1,-3.739224243E-1,9.888436890E0,9.899118900E0
1.959049083E0,-2.642005920E-1,-3.802093506E-1,9.889933777E0,9.900765183E0
1.969087083E0,-2.698887634E-1,-3.839515686E-1,9.898466034E0,9.909585691E0
1.979126083E0,-2.535726929E-1,-3.921844482E-1,9.895322571E0,9.906337191E0
1.989164083E0,-2.594105530E-1,-3.884422302E-1,9.886191559E0,9.897220051E0
1.999203083E0,-2.553689575E-1,-4.001179504E-1,9.894723816E0,9.906102517E0
2.009241083E0,-2.718347168E-1,-3.921844482E-1,9.901459808E0,9.912951583E0
2.019280083E0,-2.686912537E-1,-3.833528137E-1,9.901759186E0,9.912819445E0
2.029319083E0,-2.695893860E-1,-3.866459656E-1,9.897268524E0,9.908486150E0
2.039357083E0,-2.676434326E-1,-3.821553040E-1,9.895472260E0,9.906464905E0
2.049396083E0,-2.773731995E-1,-3.890409851E-1,9.900711365E0,9.912233568E0
2.059434083E0,-2.859054565E-1,-3.796105957E-1,9.915829926E0,9.927211554E0
2.069473083E0,-2.748284912E-1,-3.773652649E-1,9.903705139E0,9.914701747E0
2.079511083E0,-2.647993469E-1,-3.713777161E-1,9.911638641E0,9.922127829E0
2.089550083E0,-2.689906311E-1,-3.763174438E-1,9.917626190E0,9.928407729E0
2.099588083E0,-2.658471680E-1,-3.824546814E-1,9.902807007E0,9.913754733E0
2.109627083E0,-2.612068176E-1,-3.733236694E-1,9.906100159E0,9.916572993E0
2.119665083E0,-2.559677124E-1,-3.824546814E-1,9.886790314E0,9.897495328E0
2.129704083E0,-2.624043274E-1,-3.832031250E-1,9.884544983E0,9.895449974E0
2.139743083E0,-2.577639771E-1,-3.838018799E-1,9.902657318E0,9.913443807E0
2.149781083E0,-2.713856506E-1,-3.953279114E-1,9.892478485E0,9.904093341E0
2.159820083E0,-2.677931213E-1,-3.821553040E-1,9.885293427E0,9.896301428E0
2.169858083E0,-2.730322266E-1,-3.785627747E-1,9.899513855E0,9.910511134E0
2.179897083E0,-2.695893860E-1,-3.832031250E-1,9.899813232E0,9.910894264E0
2.189935083E0,-2.739303589E-1,-3.805087280E-1,9.909393311E0,9.920478845E0
2.199974083E0,-2.877017212E-1,-3.751199341E-1,9.890682220E0,9.901973643E0
2.210012083E0,-2.722837830E-1,-3.781137085E-1,9.905950470E0,9.916902901E0
2.220051083E0,-2.710862732E-1,-3.814068604E-1,9.902058563E0,9.913108632E0
2.230090083E0,-2.730322266E-1,-3.727249146E-1,9.912686462E0,9.923448159E0
2.240128083E0,-2.742297363E-1,-3.824546814E-1,9.904752960E0,9.915926822E0
2.250167083E0,-2.478845215E-1,-3.787124634E-1,9.905651093E0,9.915986760E0
2.260205083E0,-2.644999695E-1,-3.749702454E-1,9.898016968E0,9.908647880E0
2.270244083E0,-2.630030823E-1,-3.739224243E-1,9.886191559E0,9.896755637E0
2.280282083E0,-2.553689575E-1,-3.914360046E-1,9.890831909E0,9.901868072E0
2.290321083E0,-2.676434326E-1,-3.939807129E-1,9.903555450E0,9.915001985E0
2.300359083E0,-2.618055725E-1,-3.779640198E-1,9.891580353E0,9.902260390E0
2.310398083E0,-2.698887634E-1,-3.820056152E-1,9.900861053E0,9.911902836E0
2.320436083E0,-2.680924988E-1,-3.947291565E-1,9.906249847E0,9.917735162E0
2.330475083E0,-2.715353394E-1,-3.770658875E-1,9.899962921E0,9.910861515E0
2.340514083E0,-2.799179077E-1,-3.647914124E-1,9.908495178E0,9.919158407E0
2.350552083E0,-2.730322266E-1,-3.733236694E-1,9.902507629E0,9.913302906E0
2.360591083E0,-2.656974792E-1,-3.802093506E-1,9.895771637E0,9.906636694E0
2.370629083E0,-2.695893860E-1,-3.848497009E-1,9.890532532E0,9.901687810E0
2.380668083E0,-2.665956116E-1,-3.815565491E-1,9.899513855E0,9.910450705E0
2.390706083E0,-2.755769348E-1,-3.839515686E-1,9.902657318E0,9.913928758E0
2.400745833E0,-2.685415649E-1,-3.899391174E-1,9.907597046E0,9.918903483E0
2.410783833E0,-2.724334717E-1,-3.746708679E-1,9.894873505E0,9.905711480E0
2.420822833E0,-2.618055725E-1,-3.884422302E-1,9.885892181E0,9.896984073E0
2.430860833E0,-2.630030823E-1,-3.829037476E-1,9.889185333E0,9.900089518E0
2.440899833E0,-2.625540161E-1,-3.770658875E-1,9.903106384E0,9.913759597E0
2.450938833E0,-2.745291138E-1,-3.887416077E-1,9.890682220E0,9.902125078E0
2.460976833E0,-2.691403198E-1,-3.832031250E-1,9.903256073E0,9.914321056E0
2.471015833E0,-2.808160400E-1,-3.808081055E-1,9.904902649E0,9.916197303E0
2.481053833E0,-2.766247559E-1,-3.869453430E-1,9.899064789E0,9.910485944E0
2.491092833E0,-2.643502808E-1,-3.718267822E-1,9.906100159E0,9.916600051E0
2.501130833E0,-2.730322266E-1,-3.797602844E-1,9.899064789E0,9.910108383E0
2.511169833E0,-2.700384521E-1,-3.790118408E-1,9.899513855E0,9.910446272E0
2.521207833E0,-2.668949890E-1,-3.849993896E-1,9.907746735E0,9.918815596E0
2.531246833E0,-2.791694641E-1,-3.766168213E-1,9.886041870E0,9.897151089E0
2.541285833E0,-2.507286072E-1,-3.823049927E-1,9.892029419E0,9.902588953E0
2.551323833E0,-2.525248718E-1,-3.830534363E-1,9.906848602E0,9.917466812E0
2.561362833E0,-2.812651062E-1,-3.835025024E-1,9.893975372E0,9.905399179E0
2.571400833E0,-2.683918762E-1,-3.835025024E-1,9.893376617E0,9.904443915E0
2.581439833E0,-2.649490356E-1,-3.921844482E-1,9.896071014E0,9.907382508E0
2.591477833E0,-2.742297363E-1,-3.625460815E-1,9.905651093E0,9.916076098E0
2.601516833E0,-2.733316040E-1,-3.800596619E-1,9.895771637E0,9.906838638E0
2.611554833E0,-2.677931213E-1,-3.838018799E-1,9.902657318E0,9.913709649E0
2.621593833E0,-2.772235107E-1,-3.758683777E-1,9.908495178E0,9.919496288E0
2.631631833E0,-2.782713318E-1,-3.778143311E-1,9.909692688E0,9.920795723E0
2.641670833E0,-2.748284912E-1,-3.808081055E-1,9.902507629E0,9.913637217E0
2.651709833E0,-2.710862732E-1,-3.829037476E-1,9.899663544E0,9.910774002E0
2.661747833E0,-2.719844055E-1,-3.799099731E-1,9.897867279E0,9.908889129E0
2.671786833E0,-2.740800476E-1,-3.899391174E-1,9.893675995E0,9.905150028E0
2.681824833E0,-2.619552612E-1,-3.944297791E-1,9.887838135E0,9.899168571E0
2.691863833E0,-2.697390747E-1,-3.803590393E-1,9.904752960E0,9.915723038E0
2.701901833E0,-2.535726929E-1,-3.903881836E-1,9.892628174E0,9.903574821E0
2.711940833E0,-2.625540161E-1,-3.818559265E-1,9.908495178E0,9.919325847E0
2.721978833E0,-2.700384521E-1,-3.838018799E-1,9.896819458E0,9.907939242E0
2.732017833E0,-2.583627319E-1,-3.826043701E-1,9.908794556E0,9.919543687E0
2.742055833E0,-2.799179077E-1,-3.743714905E-1,9.908495178E0,9.919515348E0
2.752094833E0,-2.600093079E-1,-3.643423462E-1,9.905950470E0,9.916057931E0
2.762133833E0,-2.808160400E-1,-3.676354980E-1,9.901759186E0,9.912560138E0
2.772171833E0,-2.698887634E-1,-3.811074829E-1,9.897867279E0,9.908877814E0
2.782210833E0,-2.682421875E-1,-3.613485718E-1,9.902956696E0,9.913176987E0
2.792248833E0,-2.757266235E-1,-3.785627747E-1,9.891879730E0,9.902960140E0
2.802287833E0,-2.662962341E-1,-3.918850708E-1,9.910441132E0,9.921760480E0
2.812325833E0,-2.724334717E-1,-3.823049927E-1,9.891580353E0,9.902713718E0
2.822364833E0,-2.659968567E-1,-3.841012573E-1,9.891430664E0,9.902458719E0
2.832402833E0,-2.642005920E-1,-3.727249146E-1,9.895023193E0,9.905564588E0
2.842441833E0,-2.692900085E-1,-3.839515686E-1,9.899813232E0,9.910915092E0
2.852479833E0,-2.664459229E-1,-3.733236694E-1,9.906249847E0,9.916861904E0
2.862518833E0,-2.685415649E-1,-3.707789612E-1,9.891580353E0,9.902169130E0
2.872557833E0,-2.746788025E-1,-3.794609070E-1,9.902807007E0,9.913880453E0
2.882595833E0,-2.841091919E-1,-3.872447205E-1,9.900262299E0,9.911905472E0
2.892634833E0,-2.700384521E-1,-3.752696228E-1,9.906698914E0,9.917481103E0
2.902672833E0,-2.634521484E-1,-3.764671326E-1,9.906698914E0,9.917349338E0
2.912711833E0,-2.767744446E-1,-3.845503235E-1,9.911339264E0,9.922657358E0
2.922749833E0,-2.628533936E-1,-3.873944092E-1,9.895472260E0,9.906540141E0
2.932788833E0,-2.609074402E-1,-3.863465881E-1,9.897717590E0,9.908690624E0
2.942826833E0,-2.665956116E-1,-3.769161987E-1,9.911039886E0,9.921786667E0
2.952865833E0,-2.624043274E-1,-3.842509460E-1,9.883347473E0,9.894294421E0
2.962904833E0,-2.550695801E-1,-3.820056152E-1,9.888436890E0,9.899099601E0
2.972942833E0,-2.692900085E-1,-3.827540588E-1,9.893675995E0,9.904738385E0
2.982981833E0,-2.631527710E-1,-3.917353821E-1,9.898466034E0,9.909709169E0
2.993019833E0,-2.695893860E-1,-3.854484558E-1,9.890981598E0,9.902159659E0
3.003058833E0,-2.670446777E-1,-3.887416077E-1,9.896370392E0,9.907602123E0
