"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.912278708E0,-1.242294535E-2,4.240078852E-4,4.450987559E-3,1.320305435E-2
1.922318708E0,-1.253586262E-2,1.505517401E-3,2.955889329E-3,1.296733265E-2
1.932357708E0,-1.240984909E-2,-7.026623935E-4,2.914445009E-3,1.276683511E-2
1.942396708E0,-1.170677505E-2,-7.513985038E-4,2.061700914E-3,1.191065878E-2
1.952435708E0,-1.099214517E-2,3.740116954E-4,1.159989741E-3,1.105950796E-2
1.962474708E0,-1.007122360E-2,-6.792685017E-4,8.079200052E-4,1.012638560E-2
1.972513708E0,-1.033082418E-2,-1.213666983E-3,-1.509631751E-3,1.051084696E-2
1.982552708E0,-9.989939630E-3,-9.228494018E-4,-1.564759295E-3,1.015376859E-2
1.992591708E0,-7.872865535E-3,-3.082524054E-3,-2.515820554E-3,8.821185824E-3
2.002631708E0,-7.951162755E-3,-7.314858958E-4,-5.062335171E-3,9.454274068E-3
2.012670708E0,-7.960854098E-3,-1.538382843E-3,-2.727843821E-3,8.554703482E-3
2.022709708E0,-5.896903574E-3,-2.382870764E-3,-2.647149842E-3,6.889045444E-3
2.032748708E0,-6.358742248E-3,-2.636532299E-3,-4.905082285E-3,8.452498907E-3
2.042787708E0,-5.646080244E-3,-4.218184389E-3,-5.826801993E-3,9.144557022E-3
2.052826708E0,-4.914452787E-3,-3.909159452E-3,-5.759759340E-3,8.521044624E-3
2.062865708E0,-4.011374898E-3,-4.278806038E-3,-5.196234677E-3,7.835825707E-3
2.072904708E0,-4.789121449E-3,-4.327768460E-3,-4.700921942E-3,7.985232069E-3
2.082944708E0,-4.924942274E-3,-5.648164079E-3,-4.568030126E-3,8.776315462E-3
2.092983708E0,-4.539421294E-3,-4.251012579E-3,-5.414948333E-3,8.246157837E-3
2.103022708E0,-5.044356454E-3,-5.830532871E-3,-7.105256431E-3,1.048452739E-2
2.113061708E0,-4.664091393E-3,-5.017644726E-3,-6.309251301E-3,9.313278644E-3
2.123100708E0,-5.656651687E-3,-5.040814169E-3,-6.399798673E-3,9.917910004E-3
2.133139708E0,-5.012236536E-3,-5.040865391E-3,-6.456546485E-3,9.603115718E-3
2.143178708E0,-5.137139000E-3,-5.434214137E-3,-6.108205300E-3,9.655622838E-3
2.153218708E0,-5.639040377E-3,-5.408422090E-3,-5.973945837E-3,9.835539372E-3
2.163257708E0,-6.223071367E-3,-5.198831670E-3,-4.259669222E-3,9.159653369E-3
2.173296708E0,-6.792548578E-3,-4.440353252E-3,-5.353372078E-3,9.721833459E-3
2.183335708E0,-6.260449067E-3,-4.979110323E-3,-4.024721216E-3,8.954504062E-3
2.193374708E0,-8.784778416E-3,-5.910398439E-3,-3.005946521E-3,1.100640068E-2
2.203413708E0,-6.943202112E-3,-4.787876271E-3,-3.344967030E-3,9.073071100E-3
2.213452708E0,-8.443465456E-3,-4.782508127E-3,-1.828864915E-3,9.874676692E-3
2.223491708E0,-7.308159489E-3,-5.366273224E-3,-5.092686042E-4,9.081048285E-3
2.233531708E0,-9.202941321E-3,-6.320651621E-3,1.925058197E-3,1.132919304E-2
2.243570708E0,-5.737369414E-3,-7.027454674E-3,-6.057438441E-4,9.092274336E-3
2.253609708E0,-5.936747417E-3,-4.472161643E-3,2.006759401E-3,7.698849456E-3
2.263648708E0,-6.178562529E-3,-5.512658507E-3,1.466670539E-3,8.409230715E-3
2.273687708E0,-5.365777295E-3,-7.747286931E-3,1.300395932E-3,9.513309117E-3
2.283726708E0,-4.925556947E-3,-5.999187939E-3,1.247399021E-3,7.861766435E-3
2.293765708E0,-4.569109529E-3,-6.404059939E-3,2.863002475E-3,8.371710026E-3
2.303804292E0,-2.659889171E-3,-7.653082721E-3,3.223860636E-3,8.719974939E-3
2.313844292E0,-3.217613557E-3,-8.369570598E-3,1.016966999E-3,9.024243507E-3
2.323883292E0,-3.023735480E-3,-8.297398686E-3,4.540328868E-3,9.929974191E-3
2.333922292E0,-1.395698637E-3,-8.237349801E-3,4.608876072E-3,9.541679363E-3
2.343961292E0,3.534654388E-4,-7.324418984E-3,3.623240627E-3,8.179237368E-3
2.354000292E0,7.976227207E-4,-6.885092705E-3,4.647028632E-3,8.344793507E-3
2.364039292E0,8.138680132E-4,-8.983930573E-3,3.543414641E-3,9.691706609E-3
2.374078292E0,1.842728583E-3,-7.007845677E-3,3.343526740E-3,7.980270718E-3
2.384117292E0,4.395368509E-3,-7.121828385E-3,3.964842297E-3,9.260652154E-3
2.394157292E0,3.076017369E-3,-7.444277406E-3,4.284237511E-3,9.123258190E-3
2.404196292E0,3.676027525E-3,-8.350284770E-3,6.042722613E-3,1.094325960E-2
2.414235292E0,3.913625609E-3,-7.520564832E-3,6.239900365E-3,1.052671446E-2
2.424274292E0,5.995418411E-3,-7.316832431E-3,5.353334360E-3,1.086918891E-2
2.434313292E0,3.147334559E-3,-8.399385959E-3,6.649196148E-3,1.116544709E-2
2.444352292E0,6.522092037E-3,-7.231855765E-3,5.272075534E-3,1.107394251E-2
2.454391292E0,6.358849816E-3,-6.594057195E-3,5.558190402E-3,1.071494479E-2
2.464430292E0,5.991067272E-3,-6.830279715E-3,2.363195643E-3,9.387774054E-3
2.474470292E0,5.756140687E-3,-7.231244817E-3,3.382907715E-3,9.842160424E-3
2.484509292E0,7.008891553E-3,-6.869054399E-3,2.608726732E-3,1.015450266E-2
2.494548292E0,6.370923948E-3,-6.395645440E-3,1.670182683E-3,9.180548063E-3
2.504587292E0,6.525653880E-3,-5.479251966E-3,-2.044164576E-4,8.523388220E-3
2.514626292E0,5.695153493E-3,-5.438388325E-3,-1.802266110E-3,8.078304526E-3
2.524665292E0,4.844273441E-3,-6.663975306E-3,-2.425445709E-3,8.588267516E-3
2.534704292E0,5.299835466E-3,-6.139024161E-3,-2.935210709E-3,8.625041189E-3
2.544744292E0,4.825526383E-3,-5.817847326E-3,-3.941619303E-3,8.524635776E-3
2.554783292E0,5.839010701E-3,-6.030013785E-3,-2.624545479E-3,8.794506875E-3
2.564822292E0,4.567084834E-3,-4.169796593E-3,-3.775297431E-3,7.245573698E-3
2.574861292E0,4.295627587E-3,-6.526462734E-3,-3.816161770E-3,8.695413897E-3
2.584900292E0,2.417566255E-3,-5.284897052E-3,-4.643339664E-3,7.438774541E-3
2.594939292E0,4.662540741E-3,-3.783191554E-3,-5.859361496E-3,8.389513790E-3
2.604978292E0,4.875061102E-3,-5.188808776E-3,-4.607676063E-3,8.480603514E-3
2.615017292E0,3.148210235E-3,-4.390756600E-3,-4.850753583E-3,7.260838899E-3
2.625057292E0,4.486448597E-3,-4.030963406E-3,-4.961008672E-3,7.809513047E-3
2.635096292E0,4.926970229E-3,-3.732531331E-3,-4.877905827E-3,7.874058104E-3
2.645135292E0,5.588766187E-3,-3.235852346E-3,-3.667499172E-3,7.426681498E-3
2.655174292E0,6.294259802E-3,-3.843911923E-3,-4.799157381E-3,8.799163420E-3
2.665213292E0,6.030074321E-3,-5.521170795E-3,-4.124045838E-3,9.157121673E-3
2.675252292E0,6.032459438E-3,-3.492610529E-3,-5.019493867E-3,8.589773795E-3
2.685291292E0,6.594653241E-3,-3.096864559E-3,-4.504971206E-3,8.565908419E-3
2.695330292E0,7.633169647E-3,-3.707973287E-3,-4.846248776E-3,9.772434290E-3
2.705370292E0,8.377790451E-3,-3.575348295E-3,-4.893652629E-3,1.034013174E-2
2.715409292E0,8.392622694E-3,-3.503995948E-3,-7.311385125E-3,1.166920973E-2
2.725448292E0,9.222730063E-3,-4.049943760E-3,-3.752336837E-3,1.074899186E-2
2.735487292E0,8.679492399E-3,-3.592034802E-3,-4.714433569E-3,1.051009925E-2
2.745526292E0,1.045262534E-2,-3.237567842E-3,-4.502712283E-3,1.183273595E-2
2.755565292E0,9.281715378E-3,-1.544043422E-3,-4.406722263E-3,1.039006793E-2
2.765604292E0,1.135791559E-2,-2.732878551E-3,-5.480508786E-3,1.290375326E-2
2.775643292E0,1.144477818E-2,-2.886665054E-3,-3.806608263E-3,1.240185668E-2
2.785683292E0,1.096274611E-2,-2.512756735E-3,-2.183943987E-3,1.145710958E-2
2.795722292E0,1.167222485E-2,-2.273385413E-3,-1.095950836E-3,1.194195220E-2
2.805761292E0,1.297397818E-2,-7.559163496E-4,-9.510749951E-4,1.303073532E-2
2.815800292E0,1.146188192E-2,-3.978591412E-4,8.842130192E-4,1.150281973E-2
2.825839292E0,1.171062142E-2,1.608720049E-4,1.118571497E-3,1.176502172E-2
2.835878292E0,1.200471446E-2,-6.598783657E-4,2.556263469E-3,1.229158621E-2
2.845917292E0,1.198181137E-2,-2.515302971E-3,1.748792827E-3,1.236724825E-2
2.855956292E0,1.190359425E-2,2.765096724E-4,3.425101284E-3,1.238964618E-2
2.865996292E0,1.123247854E-2,1.236578915E-3,2.962244209E-3,1.168214845E-2
2.876035292E0,1.182967424E-2,1.615992747E-3,4.098741338E-3,1.262348232E-2
2.886074292E0,1.196443010E-2,6.812233478E-4,2.738398500E-3,1.229270024E-2
2.896113292E0,1.212775242E-2,3.084792290E-3,2.923779655E-3,1.285094586E-2
2.906152292E0,1.112400740E-2,2.974271309E-3,3.804220818E-3,1.212690919E-2
2.916191292E0,9.790098295E-3,1.599598676E-3,4.194928333E-3,1.077043009E-2
2.926230292E0,1.049903221E-2,3.843578044E-3,2.549094614E-3,1.146737341E-2
2.936269292E0,8.678704500E-3,3.274363466E-3,3.995260689E-3,1.009967702E-2
2.946309292E0,9.823863395E-3,4.083698150E-3,2.972872462E-3,1.104639549E-2
2.956348292E0,6.566505414E-3,2.523771487E-3,2.717907075E-3,7.541580387E-3
2.966387292E0,6.236007437E-3,3.316062037E-3,1.725346781E-3,7.270548652E-3
2.976426292E0,8.804995567E-3,3.667543177E-3,2.644701861E-3,9.898144665E-3
2.986465292E0,6.943446118E-3,4.562897608E-3,2.541104797E-3,8.688422882E-3
2.996504292E0,7.032501511E-3,3.665888216E-3,9.379172698E-4,7.985893984E-3
3.006543292E0,7.019984536E-3,3.008886240E-3,1.504371408E-3,7.784389034E-3
